epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.01689,0,7.96206,0,0,0,0,0,0.154,5.5724,0.04024,0,0,0
2,1.76536,0,7.93457,0,0,0,0,0,0.08193,5.53255,0.02216,1.41485e-05,1.41485e-05,1.41485e-05
3,2.41517,0,7.94062,0,0,0,0,0,0.03646,5.50894,0.0103,2.80141e-05,2.80141e-05,2.80141e-05
4,3.05252,0,7.91685,0,0,0,0,0,0.01492,5.4998,0.0044,4.15968e-05,4.15968e-05,4.15968e-05
5,3.68585,0,7.88354,0,0,0,0,0,0.00157,5.49509,0.00051,5.48965e-05,5.48965e-05,5.48965e-05
6,4.41356,0,7.84302,0,0,0,0,0,0.00085,5.49825,0.00029,6.79132e-05,6.79132e-05,6.79132e-05
7,5.19215,0,7.81155,0,0,0,0,0,0.00134,5.50268,0.00045,8.0647e-05,8.0647e-05,8.0647e-05
8,5.89331,0.00918,7.80064,0.00477,0,0,0,0,0.00552,5.50971,0.00177,9.30979e-05,9.30979e-05,9.30979e-05
9,6.55553,0,7.7558,0,0,0,0,0,0.00465,5.51248,0.00151,0.000105266,0.000105266,0.000105266
10,7.19521,0,7.73082,0,0,0,0,0,0.09392,5.56782,0.02666,0.000117151,0.000117151,0.000117151
11,7.84962,0.00502,7.69129,0.00239,0,0,0,0,0.42174,5.76511,0.10399,0.000128753,0.000128753,0.000128753
12,8.50347,0,7.65648,0,0,0,0,0,0.53792,5.83696,0.12565,0.000140072,0.000140072,0.000140072
13,9.14976,0,7.61544,0,0,0,0,0,0.61694,5.88584,0.13813,0.000151108,0.000151108,0.000151108
14,9.79535,0,7.57531,0,0,0,0,0,0.68121,5.92569,0.14705,0.000161861,0.000161861,0.000161861
15,10.4821,0,7.53367,0,0,0,0,0,0.66502,5.91122,0.14501,0.000172332,0.000172332,0.000172332
16,11.1365,0,7.46121,0,0,0,0,0,0.65756,5.90179,0.14432,0.000182519,0.000182519,0.000182519
17,11.7865,0,7.41098,0,0,0,0,0,0.62,5.87167,0.13965,0.000192423,0.000192423,0.000192423
18,12.4091,0.28082,7.55781,0.07598,0,0,0,0,0.62,5.87167,0.13965,0.000202045,0.000202045,0.000202045
19,13.0491,0,7.36017,0,0,0,0,0,0.76603,5.96977,0.15733,0.000211383,0.000211383,0.000211383
